user_id,watch_time_hours,avg_session_duration_mins,sessions_per_week,completion_rate,top_genre,genre_list,days_since_last_watch,weekend_activity_ratio
USR-00000,4.88,29.08,0.8,0.208,Drama,Drama,8,0.61
USR-00001,52.28,48.58,5.8,0.623,Thriller,Thriller|Action,18,0.42
USR-00002,95.4,93.2,4.2,0.993,Sci-Fi,Sci-Fi|Thriller,11,0.52
USR-00003,6.07,17.1,2.2,0.272,Thriller,Thriller|Animation,29,0.66
USR-00004,131.76,96.08,11.7,0.846,Animation,Animation|Documentary,4,0.4
USR-00005,102.45,147.17,2.9,0.918,Sci-Fi,Sci-Fi|Action,14,0.28
USR-00006,10.8,19.72,1.3,0.351,Comedy,Comedy|Animation,21,0.47
USR-00007,12.83,1.0,2.2,0.234,Action,Action|Drama,11,0.32
USR-00008,106.12,109.93,9.0,0.761,Romance,Romance|Sci-Fi,3,0.54
USR-00009,52.47,46.53,3.8,0.564,Sci-Fi,Sci-Fi|Drama|Thriller|Documentary,28,0.56
USR-00010,35.96,28.61,3.1,0.739,Documentary,Documentary|Thriller|Reality|Drama,18,0.22
USR-00011,51.86,90.67,3.7,0.944,Comedy,Comedy|Drama,29,0.4
USR-00012,12.04,23.87,0.8,0.223,Horror,Horror,15,0.39
USR-00013,12.34,21.95,2.6,0.274,Comedy,Comedy|Action,14,0.8
USR-00014,48.85,19.28,4.6,0.774,Animation,Animation|Sci-Fi,2,0.37
USR-00015,131.71,99.93,14.7,0.859,Comedy,Comedy,25,0.46
USR-00016,53.33,45.66,4.4,0.617,Sci-Fi,Sci-Fi|Reality|Animation|Horror,7,0.78
USR-00017,108.66,96.48,9.6,0.691,Documentary,Documentary,9,0.76
USR-00018,23.52,23.94,1.3,0.116,Documentary,Documentary,15,0.36
USR-00019,13.66,11.53,0.9,0.267,Horror,Horror,14,0.29
USR-00020,5.28,33.01,2.6,0.442,Thriller,Thriller,10,0.47
USR-00021,40.51,26.75,6.7,0.571,Drama,Drama|Documentary,17,0.26
USR-00022,59.95,97.78,4.0,0.978,Comedy,Comedy|Sci-Fi,14,0.24
USR-00023,60.02,151.1,4.2,0.872,Sci-Fi,Sci-Fi|Drama,7,0.52
USR-00024,9.12,20.91,2.6,0.482,Thriller,Thriller,1,0.46
USR-00025,143.71,109.59,15.9,0.891,Documentary,Documentary,2,0.72
USR-00026,46.39,33.47,6.2,0.507,Animation,Animation|Sci-Fi|Drama|Reality,12,0.31
USR-00027,81.39,121.66,9.2,0.767,Comedy,Comedy,5,0.62
USR-00028,78.19,108.85,13.5,0.874,Romance,Romance|Horror|Reality,22,0.48
USR-00029,0.1,30.34,0.8,0.223,Reality,Reality|Animation,11,0.31
USR-00030,12.39,27.89,2.6,0.273,Reality,Reality,2,0.44
USR-00031,98.17,153.81,0.9,0.935,Drama,Drama|Comedy,17,0.43
USR-00032,61.57,49.15,6.9,0.396,Comedy,Comedy|Action|Drama,15,0.37
USR-00033,62.47,58.92,11.1,0.595,Thriller,Thriller|Animation|Comedy|Romance,12,0.68
USR-00034,74.03,45.2,8.6,0.625,Horror,Horror|Drama,27,0.36
